MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,RainToday
10.8,18.4,0,5,1.1,41,15,24,72,48,1020.9,1020.2,0
12.3,16.8,0,4,0.2,37,13,20,64,49,1018.7,1019.1,0
8.9,18.3,0,2.4,0,37,4,24,83,60,1020.5,1020,0
11.9,24.3,1,3.8,8.8,31,7,11,83,40,1024,1021.8,0
12.5,27.3,0,3.8,7.1,35,9,15,84,42,1025.1,1021.8,0
16.2,25.9,5.6,4.8,3,39,4,22,95,69,1017.5,1013.9,1
15.9,22,8,2.6,4.3,28,13,15,94,64,1017.2,1016.1,1
11.2,24.4,0,2,8.3,31,9,11,93,48,1018.2,1016.1,0
14,26.6,0.4,4.4,6.3,26,2,9,94,51,1020.2,1018.6,0
15.4,32,0,2.8,10.4,52,33,28,58,35,1019.1,1016.1,0
20.6,33.7,0,9.6,10.1,63,35,39,49,23,1016,1012.7,0
4,13.5,0,2.8,4.2,31,9,15,64,56,1025.9,1023.9,0
8,14.1,0,1.8,3.8,24,11,11,72,57,1025.5,1022.9,0
3.6,15.4,0,2.2,1.8,69,31,31,75,56,1020,1014.8,0
7.5,13.2,5.2,2.8,2.3,63,33,30,58,66,1016.7,1017,1
7.7,13.2,1,2.6,4.2,43,24,15,84,55,1020.6,1021.2,0
8.9,14.9,0.6,2.2,4.5,39,20,24,86,48,1027.7,1028.1,0
7.5,16.2,0,2.4,6.3,26,15,9,77,56,1033.6,1031,0
3.6,19.7,0,2.4,9.8,57,28,37,67,41,1028.7,1025.3,0
11.1,21.5,0,5.2,4.2,63,43,33,61,45,1026.2,1023.6,0
13.8,24.9,0,6.6,10.7,65,35,35,50,31,1025,1021.9,0
14.7,25.7,0,9.4,10.5,63,39,43,48,35,1018.6,1013,0
9.7,16.5,13.2,10,7.4,52,31,30,70,44,1014.5,1016,1
5.4,15.2,0,2.8,5.1,37,11,11,72,61,1019.5,1017.8,0
6.5,15,0.6,3.4,1.9,37,11,22,74,74,1023.3,1024.6,0
8.4,14.5,0.4,2,1.3,28,11,19,90,64,1029.3,1027.6,0
4.4,20.9,0,2,6.5,43,7,20,87,39,1026.3,1021.6,0
6.3,22.7,0,4.8,10.7,50,37,22,63,34,1021.1,1017.2,0
12.5,17.5,0,5.6,2.4,56,30,28,61,78,1016,1018,0
5.6,12.6,0.8,2.2,7.2,57,31,35,81,38,1026.4,1028.6,0
4.3,12.6,2.2,3.6,10.6,44,30,31,51,45,1035.6,1034.2,1
3.6,15.3,0,4,8.5,39,17,24,74,51,1034.7,1032.2,0
1.6,17.9,0,2.6,10.8,37,9,22,72,50,1035.4,1031.1,0
4.4,19.6,0,4.8,9.5,30,11,19,80,49,1031.8,1027,0
3.5,20.8,0,3.2,11.4,33,2,20,76,32,1025.6,1021.7,0
5.2,22.4,0,5.8,5.4,50,30,9,41,47,1017.4,1015.5,0
4.2,17.5,0,3.4,6.5,37,17,26,54,43,1017.7,1017.3,0
9.5,16.9,0,2.8,6.5,39,15,22,81,51,1024.7,1023,0
3.7,23.3,0,4,11.5,52,9,17,43,23,1027,1025.5,0
7.3,28.5,0,6.6,11.3,56,26,26,52,22,1032.1,1028.4,0
16.7,31,0,11,9.8,69,46,28,39,11,1027.3,1021.8,0
14,28.2,0,13,11.5,35,0,19,52,32,1022.3,1019.9,0
10.8,34.6,0,5.6,10,59,28,31,48,13,1020.8,1017,0
19,35.9,0,17,9.1,98,37,46,23,9,1013.5,1011.6,0
8.2,16.9,0,14.4,11.4,48,33,33,41,42,1034,1034.9,0
